fdcId,英文食品名,中文食品名,状态,可能需要复核的英文词
321358,"Hummus, commercial",鹰嘴豆泥，商业生产,已自动校验,
321360,"Tomatoes, grape, raw",番茄，葡萄型，生,已自动校验,
321611,"Beans, snap, green, canned, regular pack, drained solids",豆类，嫩荚，绿色，罐装，普通装，沥干固形物,已自动校验,
323121,"Frankfurter, beef, unheated",法兰克福香肠，牛肉，未加热,已自动校验,
323294,"Nuts, almonds, dry roasted, with salt added",坚果，杏仁，干烤，加盐,已自动校验,
323505,"Kale, raw",羽衣甘蓝，生,已自动校验,
323604,"Egg, whole, raw, frozen, pasteurized",鸡蛋，整蛋，生，冷冻，巴氏杀菌,已自动校验,
323697,"Egg, white, raw, frozen, pasteurized",鸡蛋，蛋清，生，冷冻，巴氏杀菌,已自动校验,
323793,"Egg, white, dried",鸡蛋，蛋清，干制,已自动校验,
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",洋葱圈，裹面包屑，预炸，冷冻，制备后烤箱加热,已自动校验,
324653,"Pickles, cucumber, dill or kosher dill",腌黄瓜，黄瓜，莳萝或犹太式莳萝,已自动校验,
325036,"Cheese, parmesan, grated",奶酪，帕尔马干酪，磨碎,已自动校验,
325198,"Cheese, pasteurized process, American, vitamin D fortified",奶酪，巴氏杀菌再制，美式，维生素D强化,已自动校验,
325287,"Grapefruit juice, white, canned or bottled, unsweetened",葡萄柚汁，白色，罐装 或 瓶装，无糖,已自动校验,
325430,"Peaches, yellow, raw",桃，黄色，生,已自动校验,
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",种子，葵花籽仁，干烤，加盐,已自动校验,
326196,"Kale, frozen, cooked, boiled, drained, without salt",羽衣甘蓝，冷冻，熟制，水煮，沥干，不加盐,已自动校验,
326698,"Mustard, prepared, yellow",芥末酱，已制备，黄色,已自动校验,
327046,"Kiwifruit, green, raw",猕猴桃，绿色，生,已自动校验,
327357,"Nectarines, raw",油桃，生,已自动校验,
328637,"Cheese, cheddar",奶酪，切达干酪,已自动校验,
328841,"Cheese, cottage, lowfat, 2% milkfat",茅屋奶酪，低脂，2% 乳脂,已自动校验,
329370,"Cheese, mozzarella, low moisture, part-skim",奶酪，马苏里拉奶酪，低水分，部分脱脂,已自动校验,
329490,"Egg, whole, dried",鸡蛋，整蛋，干制,已自动校验,
329596,"Egg, yolk, raw, frozen, pasteurized",鸡蛋，蛋黄，生，冷冻，巴氏杀菌,已自动校验,
329716,"Egg, yolk, dried",鸡蛋，蛋黄，干制,已自动校验,
330137,"Yogurt, Greek, plain, nonfat",酸奶，希腊式，原味，脱脂,已自动校验,
330415,"Yogurt, Greek, strawberry, nonfat",酸奶，希腊式，草莓，脱脂,已自动校验,
330458,"Oil, coconut",油，椰子,已自动校验,
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",鸡肉，肉用仔鸡，鸡小腿，仅肉，熟制，炖煮,已自动校验,
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",鸡肉，肉用仔鸡，胸肉，去皮去骨，仅肉，熟制，炖煮,已自动校验,
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",酱汁，意大利面，意大利面/玛丽娜拉，即食,已自动校验,
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",火腿，切片，预包装，熟食肉片（96%脂肪 无，加水）,已自动校验,
332791,"Olives, green, Manzanilla, stuffed with pimiento",橄榄，绿色，曼萨尼亚品种，填充甜椒,已自动校验,
333008,"Cookies, oatmeal, soft, with raisins",曲奇，燕麦，软质，含葡萄干,已自动校验,
333281,"Tomatoes, canned, red, ripe, diced",番茄，罐装，红色，成熟，切丁,已自动校验,
333374,"Fish, haddock, raw",鱼，黑线鳕，生,已自动校验,
333476,"Fish, pollock, raw",鱼，狭鳕，生,已自动校验,
334194,"Fish, tuna, light, canned in water, drained solids",鱼，金枪鱼，浅色，水浸罐装，沥干固形物,已自动校验,
334536,"Restaurant, Chinese, fried rice, without meat",餐厅食品，中式，炒饭，不含 肉,已自动校验,
334628,"Restaurant, Latino, tamale, pork",餐厅食品，拉丁美洲风味，玉米粽，猪肉,已自动校验,
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",餐厅食品，拉丁美洲风味，豆馅普普萨饼（普普萨饼，豆）,已自动校验,
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",牛肉，腰脊，里脊烤肉，可分离瘦肉，去骨，脂肪修整至0英寸，选择级（Select），熟制，烘烤,已自动校验,
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",牛肉，腰脊，上腰脊牛排，去骨，保留脂肪边，可分离瘦肉，脂肪修整至1/8英寸，精选级（Choice），生,已自动校验,
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",牛肉，后腿，后腿眼肉烤肉，去骨，可分离瘦肉，脂肪修整至0英寸，选择级（Select），生,已自动校验,
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",牛肉，后腿，上后腿烤肉，去骨，可分离瘦肉，脂肪修整至0英寸，选择级（Select），生,已自动校验,
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",牛肉，短腰脊，波特豪斯牛排，可分离瘦肉，脂肪修整至1/8英寸，选择级（Select），生,已自动校验,
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",牛肉，短腰脊，T骨牛排，带骨，可分离瘦肉，脂肪修整至1/8英寸，精选级（Choice），熟制，烧烤,已自动校验,
746764,"Carrots, frozen, unprepared",胡萝卜，冷冻，未制备,已自动校验,
746765,"Cheese, dry white, queso seco",奶酪，干燥 白色，墨西哥干奶酪,已自动校验,
746766,"Cheese, ricotta, whole milk",奶酪，里科塔奶酪，全脂牛奶,已自动校验,
746767,"Cheese, swiss",奶酪，瑞士奶酪,已自动校验,
746768,"Figs, dried, uncooked",无花果，干制，未烹调,已自动校验,
746769,"Lettuce, cos or romaine, raw",生菜，长叶或罗马生菜，生,已自动校验,
746770,"Melons, cantaloupe, raw",瓜类，哈密瓜，生,已自动校验,
746771,"Oranges, raw, navels",橙子，生，脐橙,已自动校验,
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",牛奶，低脂，液态，1% 乳脂，添加维生素A和维生素D,已自动校验,
746773,"Pears, raw, bartlett",梨，生，巴特利特,已自动校验,
746774,"Restaurant, Chinese, sweet and sour pork",餐厅食品，中式，咕咾肉,已自动校验,
746775,"Salt, table, iodized",食盐，加碘,已自动校验,
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",牛奶，脱脂，液态，添加维生素A和维生素D（无脂或脱脂）,已自动校验,
746777,"Sauce, salsa, ready-to-serve",酱汁，莎莎酱，即食,已自动校验,
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",牛奶，减脂，液态，2% 乳脂，添加维生素A和维生素D,已自动校验,
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",香肠，早餐香肠，牛肉，预熟，未制备,已自动校验,
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",香肠，意大利式，猪肉，温和风味，熟制，平底锅煎制,已自动校验,
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",香肠，猪肉，西班牙辣香肠，肠衣香肠 或 绞碎，熟制，平底锅煎制,已自动校验,
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",牛奶，完整，3.25% 乳脂，添加维生素D,已自动校验,
746783,"Sausage, turkey, breakfast links, mild, raw",香肠，火鸡肉，早餐 小香肠，温和风味，生,已自动校验,
746784,"Sugars, granulated",白砂糖,已自动校验,
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",火鸡肉，绞碎，93% 瘦肉，7% 脂肪，平底锅烤制碎肉,已自动校验,
746952,"Ham, sliced, restaurant",火腿，切片，餐厅食品,已自动校验,
747429,"Cheese, American, restaurant",奶酪，美式，餐厅食品,已自动校验,
747430,"Beans, Dry, Medium Red (0% moisture)",豆类，干燥，中红豆（0% 水分）,已自动校验,
747431,"Beans, Dry, Red (0% moisture)",豆类，干燥，红色（0% 水分）,已自动校验,
747432,"Beans, Dry, Flor de Mayo (0% moisture)",豆类，干燥，五月花豆（Flor de Mayo）（0% 水分）,已自动校验,
747433,"Beans, Dry, Brown (0% moisture)",豆类，干燥，棕色（0% 水分）,已自动校验,
747434,"Beans, Dry, Tan (0% moisture)",豆类，干燥，黄褐色（0% 水分）,已自动校验,
747435,"Beans, Dry, Light Tan (0% moisture)",豆类，干燥，浅黄褐色（0% 水分）,已自动校验,
747436,"Beans, Dry, Carioca (0% moisture)",豆类，干燥，卡里奥卡豆（0% 水分）,已自动校验,
747437,"Beans, Dry, Cranberry (0% moisture)",豆类，干燥，蔓越莓豆（0% 水分）,已自动校验,
747438,"Beans, Dry, Light Red Kidney (0% moisture)",豆类，干燥，浅红芸豆（0% 水分）,已自动校验,
747439,"Beans, Dry, Pink (0% moisture)",豆类，干燥，粉红色（0% 水分）,已自动校验,
747440,"Beans, Dry, Dark Red Kidney (0% moisture)",豆类，干燥，深红芸豆（0% 水分）,已自动校验,
747441,"Beans, Dry, Navy (0% moisture)",豆类，干燥，海军豆（0% 水分）,已自动校验,
747442,"Beans, Dry, Small White (0% moisture)",豆类，干燥，小白豆（0% 水分）,已自动校验,
747443,"Beans, Dry, Small Red (0% moisture)",豆类，干燥，小红豆（0% 水分）,已自动校验,
747444,"Beans, Dry, Black (0% moisture)",豆类，干燥，黑色（0% 水分）,已自动校验,
747445,"Beans, Dry, Pinto (0% moisture)",豆类，干燥，斑豆（0% 水分）,已自动校验,
747446,"Beans, Dry, Great Northern (0% moisture)",豆类，干燥，大北方豆（0% 水分）,已自动校验,
747447,"Broccoli, raw",西兰花，生,已自动校验,
747693,"Ketchup, restaurant",番茄酱，餐厅食品,已自动校验,
747997,"Eggs, Grade A, Large, egg white",A级大号鸡蛋，蛋清,已自动校验,
748236,"Eggs, Grade A, Large, egg yolk",A级大号鸡蛋，蛋黄,已自动校验,
748278,"Oil, canola",油，菜籽,已自动校验,
748323,"Oil, corn",油，玉米,已自动校验,
748366,"Oil, soybean",油，大豆,已自动校验,
