fdcId,食品英文名,食品中文名,份量值,计量单位英文,计量单位中文,克重,修饰说明英文,修饰说明中文
321358,"Hummus, commercial",鹰嘴豆泥，商业生产,2.0,tablespoon,汤匙,33.9,,
321358,"Hummus, commercial",鹰嘴豆泥，商业生产,1.0,RACC,参考食用量（RACC）,30.0,,
321360,"Tomatoes, grape, raw",番茄，葡萄型，生,5.0,tomatoes,个番茄,49.7,,
321360,"Tomatoes, grape, raw",番茄，葡萄型，生,1.0,cup,杯,152.0,,
321360,"Tomatoes, grape, raw",番茄，葡萄型，生,1.0,RACC,参考食用量（RACC）,85.0,,
321611,"Beans, snap, green, canned, regular pack, drained solids",豆类，嫩荚，绿色，罐装，普通装，沥干固形物,1.0,cup,杯,129.0,drained,沥干
321611,"Beans, snap, green, canned, regular pack, drained solids",豆类，嫩荚，绿色，罐装，普通装，沥干固形物,1.0,RACC,参考食用量（RACC）,130.0,,
323121,"Frankfurter, beef, unheated",法兰克福香肠，牛肉，未加热,1.0,piece,块,48.6,,
323121,"Frankfurter, beef, unheated",法兰克福香肠，牛肉，未加热,1.0,RACC,参考食用量（RACC）,85.0,,
323294,"Nuts, almonds, dry roasted, with salt added",坚果，杏仁，干烤，加盐,1.0,cup,杯,135.0,whole,整粒
323294,"Nuts, almonds, dry roasted, with salt added",坚果，杏仁，干烤，加盐,1.0,RACC,参考食用量（RACC）,30.0,,
323505,"Kale, raw",羽衣甘蓝，生,1.0,cup,杯,20.6,"pieces of ~1""",约1英寸块
323505,"Kale, raw",羽衣甘蓝，生,1.0,RACC,参考食用量（RACC）,85.0,,
323604,"Egg, whole, raw, frozen, pasteurized",鸡蛋，整蛋，生，冷冻，巴氏杀菌,1.0,oz,盎司,28.4,,
323604,"Egg, whole, raw, frozen, pasteurized",鸡蛋，整蛋，生，冷冻，巴氏杀菌,1.0,RACC,参考食用量（RACC）,50.0,,
323697,"Egg, white, raw, frozen, pasteurized",鸡蛋，蛋清，生，冷冻，巴氏杀菌,1.0,oz,盎司,28.4,,
323793,"Egg, white, dried",鸡蛋，蛋清，干制,1.0,tablespoon,汤匙,7.0,,
323793,"Egg, white, dried",鸡蛋，蛋清，干制,1.0,cup,杯,107.0,sifted,过筛
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",洋葱圈，裹面包屑，预炸，冷冻，制备后烤箱加热,1.0,piece,块,20.2,,
324317,"Onion rings, breaded, par fried, frozen, prepared, heated in oven",洋葱圈，裹面包屑，预炸，冷冻，制备后烤箱加热,1.0,RACC,参考食用量（RACC）,85.0,,
324653,"Pickles, cucumber, dill or kosher dill",腌黄瓜，黄瓜，莳萝或犹太式莳萝,1.0,spear,根,40.4,,
324653,"Pickles, cucumber, dill or kosher dill",腌黄瓜，黄瓜，莳萝或犹太式莳萝,1.0,RACC,参考食用量（RACC）,30.0,,
325036,"Cheese, parmesan, grated",奶酪，帕尔马干酪，磨碎,1.0,tablespoon,汤匙,7.6,,
325036,"Cheese, parmesan, grated",奶酪，帕尔马干酪，磨碎,1.0,RACC,参考食用量（RACC）,5.0,,
325287,"Grapefruit juice, white, canned or bottled, unsweetened",葡萄柚汁，白色，罐装 或 瓶装，无糖,1.0,cup,杯,257.0,,
325430,"Peaches, yellow, raw",桃，黄色，生,1.0,fruit,个果实,147.0,"small (2-1/2"" dia)","小号（2-1/2"" dia）"
325430,"Peaches, yellow, raw",桃，黄色，生,1.0,cup,杯,154.0,slices with skin,带皮切片
325430,"Peaches, yellow, raw",桃，黄色，生,1.0,fruit,个果实,173.0,"large (2-3/4"" dia)","大号（2-3/4"" dia）"
325430,"Peaches, yellow, raw",桃，黄色，生,1.0,fruit,个果实,225.0,"extra large (3"" dia)","特大号（3"" dia）"
325430,"Peaches, yellow, raw",桃，黄色，生,1.0,fruit,个果实,161.0,"medium (2-2/3"" dia)","中号（2-2/3"" dia）"
325430,"Peaches, yellow, raw",桃，黄色，生,1.0,serving,份,147.0,NLEA ,NLEA参考份量
325430,"Peaches, yellow, raw",桃，黄色，生,1.0,RACC,参考食用量（RACC）,140.0,,
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",种子，葵花籽仁，干烤，加盐,1.0,cup,杯,127.0,,
