营养素编号,英文名称,中文名称,单位,中文单位,出现次数
436,10-Formyl folic acid (10HCOFA),10-甲酰叶酸（10HCOFA）,µg,微克,1
327,25-hydroxycholecalciferol,25-羟基胆钙化醇,µg,微克,15
437,5-Formyltetrahydrofolic acid (5-HCOH4,5-甲酰四氢叶酸（5-HCOH4）,µg,微克,1
433,5-methyl tetrahydrofolate (5-MTHF),5-甲基四氢叶酸（5-MTHF）,µg,微克,11
513,Alanine,丙氨酸,g,克,42
511,Arginine,精氨酸,g,克,42
207,Ash,灰分,g,克,336
514,Aspartic acid,天冬氨酸,g,克,42
,Beta-glucan,β-葡聚糖,g,克,23
647,Beta-sitostanol,β-谷甾烷醇,mg,毫克,19
641,Beta-sitosterol,β-谷甾醇,mg,毫克,19
454,Betaine,甜菜碱,mg,毫克,27
416,Biotin,生物素,µg,微克,110
354,"Boron, B",硼（B）,µg,微克,17
640,Brassicasterol,菜油甾醇,mg,毫克,8
301,"Calcium, Ca",钙（Ca）,mg,毫克,351
642,Campestanol,菜油甾烷醇,mg,毫克,8
639,Campesterol,菜油甾醇,mg,毫克,19
205,"Carbohydrate, by difference",碳水化合物（差减法）,g,克,321
205.2,"Carbohydrate, by summation",碳水化合物（组分求和法）,g,克,30
322,"Carotene, alpha",α-胡萝卜素,µg,微克,38
321,"Carotene, beta",β-胡萝卜素,µg,微克,37
332,"Carotene, gamma",γ-胡萝卜素,µg,微克,4
601,Cholesterol,胆固醇,mg,毫克,88
450,"Choline, free",游离胆碱,mg,毫克,27
453,"Choline, from glycerophosphocholine",来自甘油磷酸胆碱的胆碱,mg,毫克,27
451,"Choline, from phosphocholine",来自磷酸胆碱的胆碱,mg,毫克,27
452,"Choline, from phosphotidyl choline",来自磷脂酰胆碱的胆碱,mg,毫克,27
455,"Choline, from sphingomyelin",来自鞘磷脂的胆碱,mg,毫克,27
421,"Choline, total",胆碱总量,mg,毫克,27
236,Citric acid,柠檬酸,mg,毫克,15
311,"Cobalt, Co",钴（Co）,µg,微克,17
312,"Copper, Cu",铜（Cu）,mg,毫克,351
335,"Cryptoxanthin, alpha",α-隐黄质,µg,微克,13
334,"Cryptoxanthin, beta",β-隐黄质,µg,微克,38
526,Cysteine,半胱氨酸,g,克,25
507,Cystine,胱氨酸,g,克,17
710,Daidzein,大豆苷元,mg,毫克,6
717,Daidzin,大豆苷,mg,毫克,6
649,Delta-5-avenasterol,Δ5-燕麦甾醇,mg,毫克,19
,Delta-7-Stigmastenol,Δ7-豆甾烯醇,mg,毫克,15
268,Energy,能量,kJ,千焦,190
957,Energy (Atwater General Factors),能量（Atwater通用系数）,kcal,千卡,226
958,Energy (Atwater Specific Factors),能量（Atwater特定系数）,kcal,千卡,199
,"Ergosta-5,7-dienol","麦角甾-5,7-二烯醇",mg,毫克,11
,"Ergosta-7,22-dienol","麦角甾-7,22-二烯醇",mg,毫克,11
,Ergosta-7-enol,麦角甾-7-烯醇,mg,毫克,11
637,Ergosterol,麦角固醇,mg,毫克,11
,Ergothioneine,麦角硫因,mg,毫克,11
645,"Fatty acids, total monounsaturated",单不饱和脂肪酸总量,g,克,105
646,"Fatty acids, total polyunsaturated",多不饱和脂肪酸总量,g,克,90
606,"Fatty acids, total saturated",饱和脂肪酸总量,g,克,105
605,"Fatty acids, total trans",反式脂肪酸总量,g,克,67
694,"Fatty acids, total trans-dienoic",反式二烯脂肪酸总量,g,克,48
693,"Fatty acids, total trans-monoenoic",反式单烯脂肪酸总量,g,克,54
695,"Fatty acids, total trans-polyenoic",反式多烯脂肪酸总量,g,克,26
297,"Fiber, insoluble",不溶性膳食纤维,g,克,10
295,"Fiber, soluble",可溶性膳食纤维,g,克,10
291,"Fiber, total dietary",膳食纤维总量,g,克,185
417,"Folate, total",叶酸总量,µg,微克,123
212,Fructose,果糖,g,克,139
287,Galactose,半乳糖,g,克,78
711,Genistein,染料木素,mg,毫克,6
718,Genistin,染料木苷,mg,毫克,6
211,Glucose,葡萄糖,g,克,139
515,Glutamic acid,谷氨酸,g,克,42
961,Glutathione,谷胱甘肽,mg,毫克,11
516,Glycine,甘氨酸,g,克,42
719,Glycitin,黄豆黄苷,mg,毫克,6
293.3,High Molecular Weight Dietary Fiber (HMWDF),高分子量膳食纤维（HMWDF）,g,克,19
512,Histidine,组氨酸,g,克,53
521,Hydroxyproline,羟脯氨酸,g,克,27
314,"Iodine, I",碘（I）,µg,微克,46
303,"Iron, Fe",铁（Fe）,mg,毫克,351
503,Isoleucine,异亮氨酸,g,克,53
213,Lactose,乳糖,g,克,139
504,Leucine,亮氨酸,g,克,53
293.4,Low Molecular Weight Dietary Fiber (LMWDF),低分子量膳食纤维（LMWDF）,g,克,19
338.1,Lutein,叶黄素,µg,微克,11
338,Lutein + zeaxanthin,叶黄素+玉米黄质,µg,微克,29
337,Lycopene,番茄红素,µg,微克,36
505,Lysine,赖氨酸,g,克,53
635,MUFA 12:1,单不饱和脂肪酸 12:1,g,克,15
822,MUFA 14:1 c,单不饱和脂肪酸 14:1 c,g,克,58
697,MUFA 15:1,单不饱和脂肪酸 15:1,g,克,50
673,MUFA 16:1 c,单不饱和脂肪酸 16:1 c,g,克,66
687,MUFA 17:1,单不饱和脂肪酸 17:1,g,克,56
825,MUFA 17:1 c,单不饱和脂肪酸 17:1 c,g,克,56
617,MUFA 18:1,单不饱和脂肪酸 18:1,g,克,3
674,MUFA 18:1 c,单不饱和脂肪酸 18:1 c,g,克,76
628,MUFA 20:1,单不饱和脂肪酸 20:1,g,克,32
829,MUFA 20:1 c,单不饱和脂肪酸 20:1 c,g,克,65
630,MUFA 22:1,单不饱和脂肪酸 22:1,g,克,2
676,MUFA 22:1 c,单不饱和脂肪酸 22:1 c,g,克,51
676.2,MUFA 22:1 n-11,单不饱和脂肪酸 22:1 n-11,g,克,15
676.1,MUFA 22:1 n-9,单不饱和脂肪酸 22:1 n-9,g,克,28
671,MUFA 24:1 c,单不饱和脂肪酸 24:1 c,g,克,49
304,"Magnesium, Mg",镁（Mg）,mg,毫克,351
243,Malic acid,苹果酸,mg,毫克,15
214,Maltose,麦芽糖,g,克,139
315,"Manganese, Mn",锰（Mn）,mg,毫克,351
506,Methionine,蛋氨酸,g,克,53
316,"Molybdenum, Mo",钼（Mo）,µg,微克,68
406,Niacin,烟酸,mg,毫克,176
371,"Nickel, Ni",镍（Ni）,µg,微克,17
202,Nitrogen,氮,g,克,326
245,Oxalic acid,草酸,mg,毫克,13
618,PUFA 18:2,多不饱和脂肪酸 18:2,g,克,9
670,PUFA 18:2 CLAs,多不饱和脂肪酸 18:2 共轭亚油酸（CLA）,g,克,55
831,PUFA 18:2 c,多不饱和脂肪酸 18:2 c,g,克,63
675,"PUFA 18:2 n-6 c,c","多不饱和脂肪酸 18:2 n-6 c,c",g,克,78
619,PUFA 18:3,多不饱和脂肪酸 18:3,g,克,3
